data_date,individuals
16-12-11,8000
15-01-12,9500
31-01-12,9500
29-02-12,10658
18-04-12,23955
23-04-12,23702
26-04-12,23343
02-05-12,23298
07-05-12,23011
21-05-12,22778
01-06-12,24433
04-06-12,26281
12-06-12,27405
22-06-12,32134
25-06-12,32380
26-06-12,33079
04-07-12,35099
05-07-12,35565
12-07-12,37353
20-07-12,42682
23-07-12,43387
31-07-12,44188
01-08-12,44038
08-08-12,46294
09-08-12,47053
10-08-12,50227
14-08-12,59710
15-08-12,61450
22-08-12,69828
23-08-12,74112
27-08-12,78409
30-08-12,80410
10-09-12,78431
12-09-12,80104
17-09-12,80177
20-09-12,83260
24-09-12,84084
27-09-12,87774
04-10-12,93576
08-10-12,96397
18-10-12,100363
22-10-12,101834
02-11-12,107769
05-11-12,110649
07-11-12,111890
12-11-12,112883
14-11-12,114944
19-11-12,120147
26-11-12,123747
06-12-12,135519
10-12-12,136319
11-12-12,136810
13-12-12,137756
17-12-12,141240
21-12-12,142670
24-12-12,144755
01-01-13,148441
06-01-13,150906
14-01-13,153307
16-01-13,154705
22-01-13,156801
28-01-13,163161
04-02-13,170643
05-02-13,170700
06-02-13,177180
07-02-13,177914
11-02-13,177387
13-02-13,180373
14-02-13,181729
15-02-13,182621
25-02-13,183846
26-02-13,184513
27-02-13,184585
01-03-13,185205
05-03-13,185982
09-03-13,186246
11-03-13,342803
13-03-13,345012
15-03-13,347153
17-03-13,352752
18-03-13,352767
22-03-13,354046
25-03-13,361196
26-03-13,361997
27-03-13,362955
28-03-13,363988
01-04-13,368782
02-04-13,370136
03-04-13,370877
05-04-13,374295
07-04-13,377454
08-04-13,378043
09-04-13,378758
10-04-13,379580
11-04-13,380646
14-04-13,384186
15-04-13,385455
16-04-13,386361
17-04-13,387285
18-04-13,388488
21-04-13,394301
22-04-13,394440
23-04-13,394534
24-04-13,395192
25-04-13,394544
26-04-13,394727
29-04-13,395694
30-04-13,395422
01-05-13,395963
02-05-13,395963
03-05-13,395761
06-05-13,396375
07-05-13,394410
08-05-13,396296
09-05-13,346044
10-05-13,345793
13-05-13,362078
14-05-13,362667
15-05-13,363870
16-05-13,363870
17-05-13,364528
19-05-13,367532
20-05-13,367822
21-05-13,366945
22-05-13,367132
23-05-13,366530
24-05-13,366320
27-05-13,365247
28-05-13,365212
29-05-13,365851
30-05-13,365723
03-06-13,343025
04-06-13,343339
05-06-13,344456
10-06-13,346273
11-06-13,341126
12-06-13,341360
13-06-13,341344
16-06-13,341868
17-06-13,343798
18-06-13,342993
19-06-13,341675
20-06-13,342914
23-06-13,343721
24-06-13,343423
25-06-13,343572
26-06-13,343742
27-06-13,343961
30-06-13,344442
01-07-13,344582
02-07-13,344488
03-07-13,344291
04-07-13,344457
07-07-13,345078
08-07-13,344821
09-07-13,344884
10-07-13,344652
11-07-13,333789
12-07-13,333776
14-07-13,333422
15-07-13,332928
16-07-13,332928
17-07-13,333784
18-07-13,333737
19-07-13,333724
22-07-13,333195
23-07-13,333243
24-07-13,337039
25-07-13,336748
26-07-13,336729
29-07-13,336565
30-07-13,336573
31-07-13,336354
01-08-13,336239
05-08-13,335531
06-08-13,334987
07-08-13,334823
12-08-13,333607
13-08-13,333470
14-08-13,333858
15-08-13,333867
18-08-13,328578
19-08-13,328808
20-08-13,328073
21-08-13,328069
22-08-13,327881
26-08-13,327807
27-08-13,327083
28-08-13,326989
29-08-13,327132
01-09-13,327309
02-09-13,326246
16-09-13,325818
17-09-13,325814
18-09-13,324885
19-09-13,324755
22-09-13,324665
23-09-13,324318
24-09-13,324036
26-09-13,324067
01-10-13,324072
03-10-13,323501
04-10-13,323537
06-10-13,324789
07-10-13,324841
08-10-13,324749
09-10-13,324593
10-10-13,324587
11-10-13,324591
14-10-13,324839
17-10-13,325575
21-10-13,325611
22-10-13,326032
23-10-13,326541
24-10-13,326441
25-10-13,326406
28-10-13,326587
29-10-13,326577
30-10-13,313902
31-10-13,313921
02-11-13,313908
03-11-13,314335
04-11-13,314372
05-11-13,315641
06-11-13,316728
07-11-13,316661
11-11-13,318509
12-11-13,318599
14-11-13,318270
15-11-13,318093
17-11-13,319355
18-11-13,319300
19-11-13,320814
20-11-13,320814
21-11-13,321432
26-11-13,321912
27-11-13,322812
28-11-13,323065
30-11-13,323128
03-12-13,324307
04-12-13,324398
05-12-13,324503
08-12-13,324564
09-12-13,326324
10-12-13,327148
11-12-13,327702
12-12-13,327113
16-12-13,329023
17-12-13,328893
18-12-13,329672
19-12-13,330145
22-12-13,330071
24-12-13,331307
25-12-13,332555
29-12-13,332563
31-12-13,338132
01-01-14,337997
05-01-14,338004
06-01-14,338025
07-01-14,338089
08-01-14,338357
09-01-14,338715
12-01-14,340580
13-01-14,341029
14-01-14,341028
15-01-14,341365
16-01-14,341308
19-01-14,341877
20-01-14,345384
22-01-14,345971
23-01-14,346133
26-01-14,347109
27-01-14,347687
28-01-14,347611
29-01-14,347252
30-01-14,347704
02-02-14,348464
03-02-14,349031
04-02-14,350320
05-02-14,350347
06-02-14,350467
09-02-14,350946
10-02-14,351385
12-02-14,351380
13-02-14,323317
16-02-14,323510
17-02-14,323578
18-02-14,325021
19-02-14,325312
20-02-14,325883
23-02-14,327303
24-02-14,327352
25-02-14,327777
26-02-14,327610
27-02-14,327724
28-02-14,327534
02-03-14,327474
03-03-14,327641
04-03-14,327765
05-03-14,327624
06-03-14,327627
09-03-14,330472
10-03-14,330393
11-03-14,331147
12-03-14,331034
13-03-14,331128
16-03-14,332780
17-03-14,331684
18-03-14,331802
19-03-14,331819
20-03-14,332395
23-03-14,332652
24-03-14,333167
25-03-14,334182
26-03-14,334434
27-03-14,334575
30-03-14,334223
31-03-14,334220
01-04-14,334280
02-04-14,334360
03-04-14,334172
06-04-14,333549
07-04-14,334074
08-04-14,334007
09-04-14,333861
10-04-14,331917
13-04-14,331316
14-04-14,330971
15-04-14,330790
16-04-14,330434
20-04-14,329794
21-04-14,329703
23-04-14,329221
24-04-14,329040
26-04-14,328574
28-04-14,328753
29-04-14,327516
30-04-14,325903
01-05-14,325657
04-05-14,325353
05-05-14,325505
06-05-14,325552
07-05-14,325602
08-05-14,325761
11-05-14,325525
12-05-14,325730
13-05-14,325986
15-05-14,325717
19-05-14,325172
20-05-14,325503
21-05-14,325346
22-05-14,325240
25-05-14,326290
26-05-14,326185
27-05-14,325717
28-05-14,325785
29-05-14,325808
30-05-14,322493
31-05-14,322367
01-06-14,322417
02-06-14,322226
03-06-14,321970
04-06-14,315680
05-06-14,315776
08-06-14,317021
09-06-14,316638
10-06-14,316584
11-06-14,316250
12-06-14,316321
15-06-14,315905
17-06-14,316152
18-06-14,315786
19-06-14,315807
22-06-14,315506
23-06-14,315256
24-06-14,315650
25-06-14,315715
26-06-14,316233
29-06-14,316552
30-06-14,316470
01-07-14,317722
02-07-14,317924
03-07-14,317967
06-07-14,317676
07-07-14,317528
08-07-14,317507
09-07-14,317198
10-07-14,317151
13-07-14,318007
14-07-14,317972
15-07-14,317331
16-07-14,316706
17-07-14,316495
20-07-14,316119
21-07-14,315435
22-07-14,315413
23-07-14,315266
24-07-14,315171
27-07-14,315284
29-07-14,315825
30-07-14,316058
31-07-14,316023
03-08-14,315717
04-08-14,315903
05-08-14,315740
06-08-14,315559
07-08-14,313653
10-08-14,313034
11-08-14,312752
12-08-14,312381
13-08-14,311888
14-08-14,312402
17-08-14,312685
18-08-14,312909
19-08-14,312997
20-08-14,313082
21-08-14,312663
25-08-14,313328
26-08-14,313401
28-08-14,313435
02-09-14,315354
03-09-14,316230
04-09-14,316438
07-09-14,316617
08-09-14,317000
09-09-14,316502
10-09-14,316239
11-09-14,316399
14-09-14,316269
18-09-14,317327
29-09-14,317678
02-10-14,317308
08-10-14,317268
09-10-14,317302
28-10-14,316353
31-10-14,317541
11-11-14,317907
15-11-14,412949
20-11-14,412938
30-11-14,414497
07-12-14,415387
15-12-14,415638
21-12-14,415638
23-12-14,415638
28-12-14,415638
29-12-14,418002
30-12-14,417794
31-12-14,421029
04-01-15,421352
05-01-15,421410
06-01-15,421460
07-01-15,421393
13-01-15,421329
14-01-15,421189
15-01-15,421655
18-01-15,421776
19-01-15,421784
20-01-15,421826
21-01-15,421956
22-01-15,421870
26-01-15,421967
31-01-15,422330
03-02-15,422991
08-02-15,423122
09-02-15,423281
10-02-15,423245
11-02-15,423253
12-02-15,423338
15-02-15,424372
16-02-15,424445
22-02-15,424938
23-02-15,425071
24-02-15,425185
25-02-15,425304
28-02-15,426170
01-03-15,426576
02-03-15,426599
04-03-15,426803
05-03-15,426918
06-03-15,441541
08-03-15,441873
10-03-15,441988
11-03-15,442159
12-03-15,442283
13-03-15,447133
15-03-15,446566
17-03-15,447050
18-03-15,447258
20-03-15,450988
22-03-15,451590
23-03-15,451593
24-03-15,451604
26-03-15,451818
31-03-15,455120
08-04-15,455788
30-04-15,458680
04-05-15,458680
05-05-15,457738
06-05-15,457720
15-05-15,457921
21-05-15,459436
28-05-15,459841
31-05-15,460230
15-06-15,460353
17-06-15,460878
30-06-15,461112
15-07-15,461669
31-07-15,461742
13-08-15,462566
15-08-15,462527
16-08-15,462669
23-08-15,462671
29-08-15,462748
06-09-15,463350
13-09-15,463217
17-09-15,463687
28-09-15,463548
04-10-15,464637
15-10-15,464972
19-10-15,465748
27-10-15,465573
02-11-15,466445
03-11-15,464975
15-11-15,465439
17-11-15,466317
28-11-15,466795
02-12-15,467447
10-12-15,473074
17-12-15,473492
31-12-15,473616
15-01-16,473928
19-01-16,475357
15-02-16,475641
17-02-16,477524
29-02-16,488538
03-03-16,489658
15-03-16,489626
16-03-16,490837
31-03-16,490876
04-04-16,492990
11-04-16,489538
19-04-16,493188
30-04-16,493089
02-05-16,489682
05-05-16,486878
16-05-16,494308
19-05-16,491933
31-05-16,492192
01-06-16,495935
02-06-16,494086
16-06-16,491854
23-06-16,490371
30-06-16,490688
04-07-16,494804
20-07-16,494947
28-07-16,492097
01-08-16,492064
11-08-16,493361
16-08-16,493104
25-08-16,492385
31-08-16,493113
03-09-16,492879
18-09-16,493632
26-09-16,494410
30-09-16,483748
19-10-16,483860
23-10-16,483708
31-10-16,484933
03-11-16,485208
07-11-16,485122
30-11-16,485550
04-12-16,485054
08-12-16,488003
19-12-16,488214
22-12-16,488657
31-12-16,484740
05-01-17,489009
12-01-17,490744
19-01-17,490687
31-01-17,491786
01-02-17,491796
09-02-17,491554
16-02-17,490621
28-02-17,491394
09-03-17,489267
15-03-17,489304
23-03-17,487837
30-03-17,487532
31-03-17,486331
05-04-17,486385
06-04-17,486019
27-04-17,480282
30-04-17,481253
01-05-17,481254
18-05-17,481199
31-05-17,481765
01-06-17,481796
15-06-17,479280
19-06-17,479320
30-06-17,479911
03-07-17,479845
06-07-17,477734
27-07-17,468233
31-07-17,465335
06-08-17,464910
20-08-17,464580
31-08-17,465372
06-09-17,465399
07-09-17,464606
18-09-17,464653
28-09-17,461590
29-09-17,459491
05-10-17,460292
12-10-17,459306
19-10-17,458792
31-10-17,459506
02-11-17,457621
05-11-17,456666
09-11-17,457429
16-11-17,458346
30-11-17,458151
05-12-17,458203
07-12-17,459078
14-12-17,459028
18-12-17,459119
21-12-17,459134
28-12-17,458896
31-12-17,459311
02-01-18,459363
13-01-18,363251
25-01-18,460030
31-01-18,460353
01-02-18,461633
04-02-18,462083
08-02-18,460107
15-02-18,459567
22-02-18,459699
28-02-18,460102
01-03-18,460414
08-03-18,460516
13-03-18,460802
15-03-18,460305
22-03-18,459578
29-03-18,458060
31-03-18,460031
05-04-18,456837
07-04-18,448215
12-04-18,446695
19-04-18,445394
26-04-18,443694
30-04-18,444244
10-05-18,440838
17-05-18,440468
24-05-18,434897
31-05-18,434484
07-06-18,434663
13-06-18,435483
21-06-18,436525
24-06-18,436032
28-06-18,433760
30-06-18,432993
05-07-18,431191
12-07-18,429169
19-07-18,428552
26-07-18,426644
29-07-18,426905
31-07-18,427155
02-08-18,425289
09-08-18,423174
16-08-18,421244
29-08-18,415614
31-08-18,415699
04-09-18,415809
06-09-18,401658
13-09-18,400130
21-09-18,397336
24-09-18,396622
27-09-18,396458
30-09-18,396545
04-10-18,397289
08-10-18,397353
09-10-18,397353
11-10-18,395982
18-10-18,390246
24-10-18,390407
25-10-18,376725
31-10-18,377101
01-11-18,376658
08-11-18,374553
12-11-18,374463
15-11-18,377370
22-11-18,376136
29-11-18,372466
30-11-18,372745
06-12-18,363368
09-12-18,363578
20-12-18,363145
27-12-18,362994
31-12-18,363306
05-01-19,278905
10-01-19,363357
13-01-19,363357
17-01-19,363181
24-01-19,362867
31-01-19,362888
07-02-19,362761
28-02-19,363120
07-03-19,362071
11-03-19,360687
14-03-19,360196
21-03-19,359764
31-03-19,359993
04-04-19,359122
09-04-19,355777
11-04-19,355094
25-04-19,352824
30-04-19,352746
02-05-19,352851
09-05-19,346747
16-05-19,341802
31-05-19,341932
03-06-19,344024
13-06-19,327814
04-07-19,327761
25-07-19,305315
31-07-19,280489
04-08-19,280380
15-08-19,277647
22-08-19,277315
28-08-19,276898
31-08-19,277188
05-09-19,276901
12-09-19,276807
20-09-19,276654
26-09-19,276120
30-09-19,276915
03-10-19,277369
10-10-19,277313
16-10-19,277178
31-10-19,276187
05-11-19,276245
07-11-19,276064
14-11-19,276150
21-11-19,275907
27-11-19,275353
30-11-19,276934
01-12-19,276984
31-12-19,278729
05-01-20,278905
09-01-20,278709
30-01-20,278953
31-01-20,279088
06-02-20,279479
14-02-20,279894
27-02-20,280036
29-02-20,280053
03-03-20,280250
05-03-20,280246
12-03-20,280197
19-03-20,280151
26-03-20,279919
31-03-20,279853
03-04-20,279763
05-04-20,279934
09-04-20,279856
17-04-20,279826
30-04-20,279736
05-05-20,280161
08-05-20,280127
22-05-20,280017
29-05-20,279965
31-05-20,279245
03-06-20,279521
05-06-20,279417
11-06-20,279282
26-06-20,278933
30-06-20,278599
02-07-20,278526
05-07-20,278963
24-07-20,278331
29-07-20,278637
31-07-20,278569
04-08-20,278873
06-08-20,278417
14-08-20,278213
27-08-20,277314
31-08-20,277152
04-09-20,277539
10-09-20,277013
16-09-20,276721
23-09-20,276629
30-09-20,275954
01-10-20,275712
07-10-20,275582
14-10-20,275563
28-10-20,275596
31-10-20,275490
04-11-20,276692
18-11-20,276423
25-11-20,276301
30-11-20,276388
02-12-20,276211
09-12-20,276077
16-12-20,276039
23-12-20,275980
31-12-20,276686
04-01-21,277234
06-01-21,277051
13-01-21,276986
20-01-21,276967
31-01-21,277112
03-02-21,276925
04-02-21,277208
10-02-21,277013
17-02-21,276931
28-02-21,277455
03-03-21,278289
17-03-21,277183
24-03-21,277026
31-03-21,277194
07-04-21,277013
14-04-21,276662
21-04-21,276615
30-04-21,277155
05-05-21,276815
19-05-21,276679
26-05-21,276423
31-05-21,276943
02-06-21,276724
09-06-21,276333
16-06-21,276495
23-06-21,276724
30-06-21,276353
07-07-21,275455
29-07-21,274813
31-07-21,275018
05-08-21,274550
19-08-21,274118
26-08-21,274197
31-08-21,275197
02-09-21,274716
09-09-21,274102
16-09-21,274083
23-09-21,273888
30-09-21,274319
07-10-21,274117
14-10-21,274109
21-10-21,274085
28-10-21,274119
31-10-21,274525
04-11-21,274320
11-11-21,274278
18-11-21,274275
